TABLE	"OpenMP_node"	"OpenMP_node"	"OpenMP_node"	"OpenMP_spread"	"OpenMP_spread"	"OpenMP_spread"	"PATUS_none"	"PATUS_none"	"PATUS_none"	"PLUTO_node"	"PLUTO_node"	"PLUTO_node"	"PLUTO_spread"	"PLUTO_spread"	"PLUTO_spread"
1	4.5783747000	4.5006736837	4.6560757163	4.6065097000	4.5483650101	4.6646543899	4.3054415000	4.2961941794	4.3146888206	2.2769215000	2.2678573392	2.2859856608	2.2764398000	2.2629492981	2.2899303019	
2	9.0892278000	9.0275810388	9.1508745612	8.7169489000	8.5931980527	8.8406997473	8.2964005000	8.2873598238	8.3054411762	4.4727181000	4.4723434544	4.4730927456	4.4248831000	4.3729025484	4.4768636516	
4	18.1869633000	18.1708122687	18.2031143313	17.2071678000	17.0739247784	17.3404108216	16.9049478000	16.8149926402	16.9949029598	8.7681893000	8.7669747347	8.7694038653	8.7429143000	8.7380416043	8.7477869957	
6	26.9524941000	26.9344250596	26.9705631404	25.5995454000	25.4712857708	25.7278050292	24.9141796000	24.8994540531	24.9289051469	11.7810805000	11.7801470321	11.7820139679	11.7531916000	11.7518209055	11.7545622945	
8	35.6464651000	35.5152018876	35.7777283124	33.5418962000	33.4111565575	33.6726358425	32.6115843000	32.6027408738	32.6204277262	17.5199273000	17.5175624193	17.5222921807	17.4607892000	17.4569577483	17.4646206517	
10	43.9909978000	43.8896254055	44.0923701945	41.4432300000	41.2877824999	41.5986775001	36.1980077000	35.6828341036	36.7131812964	17.7239927000	17.7210489364	17.7269364636	17.5674334000	17.2432514044	17.8916153956	
16	63.7695388000	63.6249273233	63.9141502767	64.3826765000	64.3099032356	64.4554497644	64.5945234000	64.5539162584	64.6351305416	34.7843361000	34.7744664114	34.7942057886	34.7675084000	34.7421310760	34.7928857240	
20	78.5381317000	78.3554483269	78.7208150731	78.4094330000	78.1196934853	78.6991725147	52.6901770000	45.6761214097	59.7042325903	33.8925576000	31.3284447452	36.4566704548	34.7402282000	34.7250636321	34.7553927679	
