TABLE	"OpenMP_node"	"OpenMP_node"	"OpenMP_node"	"OpenMP_spread"	"OpenMP_spread"	"OpenMP_spread"	"PATUS_none"	"PATUS_none"	"PATUS_none"	"PLUTO_node"	"PLUTO_node"	"PLUTO_node"	"PLUTO_spread"	"PLUTO_spread"	"PLUTO_spread"
1	6.7600650000	6.7535431256	6.7665868744	6.7608505000	6.7545656575	6.7671353425	7.0504460000	7.0419792037	7.0589127963	3.0331491000	3.0323766586	3.0339215414	3.0333168000	3.0326051639	3.0340284361	
2	13.4743059000	13.4674126881	13.4811991119	13.3693588000	13.3490420050	13.3896755950	13.9618160000	13.9242338479	13.9993981521	6.0487336000	6.0482690369	6.0491981631	6.0287156000	6.0278702062	6.0295609938	
4	26.8921528000	26.8832556338	26.9010499662	26.7001411000	26.6659840587	26.7342981413	27.9256728000	27.8958980390	27.9554475610	12.0773762000	12.0762747163	12.0784776837	12.0303147000	12.0288964292	12.0317329708	
6	40.2477696000	40.2404469247	40.2550922753	39.9236831000	39.8728535981	39.9745126019	41.5404213000	41.4644792178	41.6163633822	17.7370388000	17.7350543357	17.7390232643	17.6729252000	17.6660796710	17.6797707290	
8	53.5952192000	53.5879491921	53.6024892079	52.9350831000	52.9047955703	52.9653706297	54.7083777000	54.6485450230	54.7682103770	23.6409506000	23.6367309977	23.6451702023	23.5546390000	23.5492017261	23.5600762739	
10	66.7546425000	66.7406197012	66.7686652988	65.6484480000	65.5316318246	65.7652641754	69.3689900000	69.3062380770	69.4317419230	29.8534288000	29.8456752497	29.8611823503	29.7376594000	29.7281145053	29.7472042947	
16	93.0424984000	91.2457270156	94.8392697844	92.7345424000	91.5969661175	93.8721186825	109.3455743000	109.2269272512	109.4642213488	46.9725759000	46.9446036270	47.0005481730	46.9898781000	46.9647504630	47.0150057370	
20	105.6859857000	103.5796049317	107.7923664683	107.1342765000	105.1209145262	109.1476384738	86.4490691000	70.0605516051	102.8375865949	56.3303320000	56.2914874562	56.3691765438	56.2558282000	56.2142563064	56.2974000936	
