TABLE	"OpenMP_node"	"OpenMP_node"	"OpenMP_node"	"OpenMP_spread"	"OpenMP_spread"	"OpenMP_spread"	"PATUS_none"	"PATUS_none"	"PATUS_none"	"PLUTO_node"	"PLUTO_node"	"PLUTO_node"	"PLUTO_spread"	"PLUTO_spread"	"PLUTO_spread"
1	4.3745026000	4.3603937050	4.3886114950	4.3333039000	4.2505511806	4.4160566194	5.7507148000	5.7313913303	5.7700382697	2.3586151000	2.2586672154	2.4585629846	2.3952410000	2.3937579681	2.3967240319	
2	8.4382579000	8.2635460165	8.6129697835	8.5680692000	8.3973076322	8.7388307678	11.4053567000	11.3586646592	11.4520487408	4.6936906000	4.6893940457	4.6979871543	4.6730674000	4.6522750925	4.6938597075	
4	16.6199436000	16.5325344609	16.7073527391	16.4873149000	16.4314081089	16.5432216911	21.9822592000	21.8963950674	22.0681233326	9.3045300000	9.2900519607	9.3190080393	9.2627373000	9.2442072828	9.2812673172	
6	24.6593060000	24.5026178219	24.8159941781	24.2698217000	23.9391515963	24.6004918037	32.2659927000	30.8189518655	33.7130335345	12.3990432000	12.3859919734	12.4120944266	12.3750166000	12.3633431797	12.3866900203	
8	32.2554333000	31.9013731715	32.6094934285	31.5894689000	31.3141530942	31.8647847058	41.9396427000	41.5515422400	42.3277431600	17.6369676000	14.9445232708	20.3294119292	18.4094908000	18.3733113424	18.4456702576	
10	39.5990238000	39.3631536202	39.8348939798	38.4620815000	38.0641161890	38.8600468110	50.5541040000	50.1231668348	50.9850411652	18.2729293000	17.4617465100	19.0841120900	18.4362896000	18.3847113708	18.4878678292	
16	57.0476259000	56.3337421850	57.7615096150	57.3472179000	56.6601690110	58.0342667890	68.9622064000	58.9951610272	78.9292517728	36.3203527000	36.2131574779	36.4275479221	36.3326690000	36.2665043641	36.3988336359	
20	68.7662979000	67.9520604214	69.5805353786	68.3639268000	67.3952869597	69.3325666403	43.1328812000	42.0895348888	44.1762275112	36.2238872000	36.1505321550	36.2972422450	36.2126230000	36.0914582382	36.3337877618	
