TABLE	"OpenMP_node"	"OpenMP_node"	"OpenMP_node"	"OpenMP_spread"	"OpenMP_spread"	"OpenMP_spread"	"PATUS_none"	"PATUS_none"	"PATUS_none"	"PLUTO_node"	"PLUTO_node"	"PLUTO_node"	"PLUTO_spread"	"PLUTO_spread"	"PLUTO_spread"
1	8.1830323000	8.1679097016	8.1981548984	8.1433382000	8.0830939676	8.2035824324	8.0919832000	8.0743244382	8.1096419618	3.5486284000	3.5379968911	3.5592599089	3.5546929000	3.5491047255	3.5602810745	
2	16.1592132000	16.0416157233	16.2768106767	15.9127771000	15.6864980117	16.1390561883	15.5106439000	15.4380642250	15.5832235750	6.9587297000	6.9548210351	6.9626383649	6.9248920000	6.9108224529	6.9389615471	
4	31.5584718000	31.3764716970	31.7404719030	31.1293188000	30.7164312449	31.5422063551	30.1125549000	29.8657000833	30.3594097167	13.7867946000	13.7754034262	13.7981857738	13.6952011000	13.6745122768	13.7158899232	
6	46.4369716000	45.5499471578	47.3239960422	44.9701810000	44.5546106254	45.3857513746	44.5974576000	44.2122354792	44.9826797208	18.3620668000	18.3435148032	18.3806187968	18.2999270000	18.2621854364	18.3376685636	
8	60.0904844000	59.5198856286	60.6610831714	57.2877729000	55.8785843764	58.6969614236	55.9008804000	55.4923552409	56.3094055591	27.3654903000	27.3199223755	27.4110582245	27.1507981000	27.0936485929	27.2079476071	
10	73.1871087000	72.1616886472	74.2125287528	69.0163957000	66.9593545511	71.0734368489	66.3146171000	65.6346487280	66.9945854720	27.4138472000	27.3939154684	27.4337789316	27.2976514000	27.2544615696	27.3408412304	
16	98.6768065000	97.1146029234	100.2390100766	97.3178778000	95.3170166863	99.3187389137	80.2612091000	76.4243586176	84.0980595824	53.4408472000	53.3582074643	53.5234869357	53.3036897000	52.9788181529	53.6285612471	
20	111.5930351000	109.0021965368	114.1838736632	112.0337855000	108.7725657553	115.2950052447	47.0086759000	46.2944095109	47.7229422891	53.2556290000	53.1219670276	53.3892909724	53.1597861000	52.8095500880	53.5100221120	
