TABLE	"OpenMP_node"	"OpenMP_node"	"OpenMP_node"	"OpenMP_spread"	"OpenMP_spread"	"OpenMP_spread"	"PATUS_none"	"PATUS_none"	"PATUS_none"	"PLUTO_node"	"PLUTO_node"	"PLUTO_node"	"PLUTO_spread"	"PLUTO_spread"	"PLUTO_spread"
1	6.3524159000	6.3480256145	6.3568061855	6.3547439000	6.3434140031	6.3660737969	6.4571746000	6.4292781087	6.4850710913	2.8353909000	2.8325452990	2.8382365010	2.8367551000	2.8347061744	2.8388040256	
2	11.8873996000	11.8331121257	11.9416870743	12.6120364000	12.5561898652	12.6678829348	12.6351819000	12.5984899485	12.6718738515	5.6507138000	5.6440924675	5.6573351325	5.5646094000	5.5577074838	5.5715113162	
4	19.9184018000	19.8530968085	19.9837067915	23.5543385000	23.4198901080	23.6887868920	22.7737990000	22.3781563133	23.1694416867	11.3274073000	11.3261532701	11.3286613299	10.8712523000	10.8422943610	10.9002102390	
6	23.2162844000	23.0862812982	23.3462875018	32.7053168000	32.5277616607	32.8828719393	31.3759434000	30.2221482201	32.5297385799	16.5729849000	16.5652659046	16.5807038954	16.3771648000	16.3449271697	16.4094024303	
8	24.3630984000	24.2630494672	24.4631473328	38.8111071000	38.5313807858	39.0908334142	37.5950375000	37.1512659259	38.0388090741	22.1384344000	22.1194341599	22.1574346401	21.7645864000	21.7370404593	21.7921323407	
10	24.4666105000	24.3155706152	24.6176503848	42.3888861000	41.8633205779	42.9144516221	39.9191441000	38.7215555820	41.1167326180	27.8576729000	27.8257288367	27.8896169633	27.3078935000	27.2935103286	27.3222766714	
16	39.6981074000	39.1497020714	40.2465127286	45.9818458000	45.4687105964	46.4949810036	40.5460476000	37.8614646608	43.2306305392	42.1420983000	42.0197551501	42.2644414499	42.1934496000	42.0868370905	42.3000621095	
20	46.4959028000	45.6355454212	47.3562601788	47.2027870000	46.6836751423	47.7218988577	34.7924710000	33.5630211937	36.0219208063	49.9697367000	49.8273981548	50.1120752452	49.8678811000	49.7711566627	49.9646055373	
